,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,猫猫的宇宙論,ナユタン星からの物体N,Nayutalien,2020-04-29,216446,20,1,0,0.591,0.00197,0.958,0.000521,0.383,-1.704,0.0579,134.049,4,0.621
1,Cosmology of NyanNyan,Object N from Star NayutaN,Nayutalien,2020-04-29,216446,13,1,0,0.591,0.00197,0.958,0.000521,0.383,-1.704,0.0579,134.049,4,0.621
2,ユーフォーユーフォー,ナユタン星からの物体Z,Nayutalien,2018-08-29,198266,22,11,0,0.525,0.0158,0.927,2.01e-05,0.257,-1.885,0.136,166.095,4,0.687
3,エイリアンエイリアン,ナユタン星への快爽列車,Nayutalien,2017-09-27,184000,33,11,0,0.497,0.0111,0.944,0.0,0.0959,-3.072,0.0925,151.845,4,0.646
4,Alien Alien,Nayutan Sei Eno Kaisou Ressya,Nayutalien,2017-09-27,184000,32,11,0,0.497,0.0111,0.944,0.0,0.0959,-3.072,0.0925,151.845,4,0.646
5,エイリアンエイリアン,ナユタン星からの物体Y,Nayutalien,2016-12-31,181973,46,7,1,0.52,0.011,0.973,4.02e-06,0.0629,-0.565,0.0868,151.939,4,0.594
6,Alien Alien,Nayutan Sei Kara No Buttai Y,Nayutalien,2016-12-31,181973,49,7,1,0.52,0.011,0.973,4.02e-06,0.0629,-0.565,0.0868,151.939,4,0.594
7,アンドロメダアンドロメダ,ナユタン星からの物体X(remake),Nayutalien,2016-07-01,182957,18,4,1,0.755,0.0496,0.778,0.0,0.325,-2.711,0.0561,142.016,4,0.907
8,Andromeda Andromeda,Nayutan Sei Karano Buttai X (remake),Nayutalien,2016-07-01,182957,15,4,1,0.755,0.0496,0.778,0.0,0.325,-2.711,0.0561,142.016,4,0.907
9,アンドロメダアンドロメダ,ナユタン星からの物体X,Nayutalien,2016-01-16,182957,29,4,1,0.755,0.0496,0.778,0.0,0.325,-2.711,0.0561,142.016,4,0.907
10,銀河電燈,銀河電燈,Nayutalien,2021-03-21,187745,24,8,1,0.597,0.00652,0.857,7.51e-05,0.287,-2.303,0.0427,140.037,4,0.698
11,Galaxy Lightway,Galaxy Lightway,Nayutalien,2021-03-21,187745,20,8,1,0.597,0.00652,0.857,7.51e-05,0.287,-2.303,0.0427,140.037,4,0.698
12,いにしえロマンティック,いにしえロマンティック,Nayutalien,2021-01-23,185901,35,2,1,0.535,0.0094,0.981,0.00216,0.338,-0.8,0.0621,155.004,4,0.728
13,Ancient Romantic,Ancient Romantic,Nayutalien,2021-01-23,185901,20,2,1,0.535,0.0094,0.981,0.00216,0.338,-0.8,0.0621,155.004,4,0.728
14,学園スペーシー,学園スペーシー,Nayutalien,2021-01-23,219870,30,10,0,0.55,0.0215,0.955,0.0,0.253,-4.602,0.0814,154.953,4,0.641
15,School Spacey,School Spacey,Nayutalien,2021-01-23,219870,14,10,0,0.55,0.0215,0.955,0.0,0.253,-4.602,0.0814,154.953,4,0.641
16,halo,halo,Nayutalien,2020-10-06,185000,18,5,0,0.303,0.000479,0.932,1.46e-06,0.187,-2.912,0.158,184.75,4,0.633
17,halo,halo,Nayutalien,2020-10-06,185000,13,5,0,0.303,0.000479,0.932,1.46e-06,0.187,-2.912,0.158,184.75,4,0.633
18,水色侵略,水色侵略,Nayutalien,2020-09-05,249560,27,6,1,0.3,0.00146,0.955,1.12e-05,0.121,-0.482,0.0788,181.889,4,0.44
19,Light Blue Invasion,Light Blue Invasion,Nayutalien,2020-09-05,249560,27,6,1,0.3,0.00146,0.955,1.12e-05,0.121,-0.482,0.0788,181.889,4,0.44
20,大宇宙ランデブー,大宇宙ランデブー,Nayutalien,2020-08-06,205609,17,1,1,0.394,0.00961,0.944,1.84e-05,0.357,-0.2,0.0487,164.023,4,0.649
21,Great Cosmic Rendezvous,Great Cosmic Rendezvous,Nayutalien,2020-08-06,205609,10,1,1,0.394,0.00961,0.944,1.84e-05,0.357,-0.2,0.0487,164.023,4,0.649
22,サイファイエクスタシー,サイファイエクスタシー,Nayutalien,2020-05-12,180000,19,1,0,0.436,0.00351,0.917,1.09e-06,0.0995,-1.695,0.0907,170.017,4,0.552
23,Sci-Fi Ecstasy,Sci-Fi Ecstasy,Nayutalien,2020-05-12,180000,14,1,0,0.436,0.00351,0.917,1.09e-06,0.0995,-1.695,0.0907,170.017,4,0.552
24,猫猫的宇宙論,猫猫的宇宙論,Nayutalien,2020-02-25,216716,29,11,1,0.6,0.00529,0.947,1.52e-05,0.406,-1.007,0.0634,134.084,4,0.711
25,Cosmology of NyanNyan,Cosmology of NyanNyan,Nayutalien,2020-02-25,216716,18,11,1,0.6,0.00529,0.947,1.52e-05,0.406,-1.007,0.0634,134.084,4,0.711
26,藍と極星 - Vocaloid ver.,藍と極星 (Vocaloid ver.),Nayutalien,2018-08-29,188769,14,8,1,0.664,0.0241,0.73,2.76e-06,0.0584,-5.902,0.0283,130.025,4,0.79
27,Indigo and Polar Star - Vocaloid ver.,Indigo and Polar Star (Vocaloid ver.),Nayutalien,2018-08-29,188769,6,8,1,0.664,0.0241,0.73,2.76e-06,0.0584,-5.902,0.0283,130.025,4,0.79
28,ならばおさらば,Sunny!!,P丸様｡,2021-03-17,223120,36,10,1,0.505,0.0722,0.879,0.0,0.0791,-3.471,0.0544,97.809,4,0.671
29,PaⅢ.SENSATION,EXIT TUNES PRESENTS Entrance Dream Music'Turbo,Various Artists,2020-01-22,241592,3,6,1,0.477,0.012,0.956,0.00185,0.0556,-4.184,0.0746,180.009,4,0.777
30,コズミックメロンソーダマジックラブ,VOCALOID 夢眠ネム,Various Artists,2017-07-05,284706,11,11,1,0.459,0.0452,0.99,0.0,0.0548,-2.913,0.0967,169.946,4,0.663
31,"千本桜-かめりあ's ""KAIKASENGEN"" Remix-",EXIT TUNES PRESENTS Entrance Dream Music3,Various Artists,2016-08-03,250920,0,0,1,0.352,0.00206,0.96,3.47e-06,0.171,-2.478,0.0871,174.835,4,0.38
