artist_name,track_id,track_name
Kanaira,7BU5WMDf3OL69FrkRBdTya,ヒトリユラリ
Kanaira,1CQ2OTb1x5M3UyCwbGHnXD,EYE
Kanaira,7vgV4fH2MbMH9rrcfkCOIz,MIRA
Kanaira,7rPKtXBW35rSQH1i6QAvyk,ENVY BABY
Kanaira,02vOyaNCKGX8uhjggOIH83,エンヴィーベイビー
Kanaira,2TAA9e8dXBST241xlKBKYO,ヒトリユラリ - MARETU REMIX
Kanaira,5lojBXokpBOfuTDly9Bksx,KING
Kanaira,5FRNHJQp1NkCX9PwCkGqd9,百鬼祭
ピノキオピー,5jIVIIZhffcaezvrNIFocX,ラヴィット
ピノキオピー,72hdS3iPYFo00AjgzThXU2,Loveit
ピノキオピー,4cAqmtzdIXnuh8ytxrZZik,愛されなくても君がいる
ピノキオピー,03TzER3qI6rcOjWQb6FMTt,Because You're Here
ピノキオピー,6ew2fyKNLCyl6fvigOYqIT,五臓六腑 -Opening- Live from 五臓六腑 Tour 2019 at Tokyo
ピノキオピー,0uCgH3145GlNgPXoqRVyDQ,GOZOU-ROPPU -Opening- Live from Gozou-Roppu Tour 2019 at Tokyo
ピノキオピー,1XxTDehNakndUguLbuZuZP,Onion+
ピノキオピー,76dfZ3SSdsadtIaAWPfcUd,玉葱+
ピノキオピー,2Xp1Bp2N5ikzCr8krqro9z,ぼくらはみんな意味不明
ピノキオピー,4gHBIsnHqHyXerbTwnsObs,Nobody Makes Sense
ピノキオピー,0Q4dHIghx1WMyVFvgtxC9G,増殖する今村
ピノキオピー,1qtMZTctqKJ54dBvGws5o4,Floating Shelter
ピノキオピー,0bkpFDu8j021nkGENhnjGu,ニッポンの夜明け
ピノキオピー,3Gsfo1r1Lg4RpTXdSZI7aA,The Dawn of Japan
ピノキオピー,1S34O3CJDZR7ozIWf72dVD,東京マヌカン
ピノキオピー,28kBTYGebermEJk8AaoYEA,Tokyo Mannequin
ピノキオピー,3MhOjiSOspJg701Nbn7yst,しぼう
